timestamp,io_errors,frames_tx,frames_rx,interface
323396208,8429,8251,0,1
323498219,8429,8251,0,1
323600218,8429,8251,0,1
323702204,8429,8251,0,1
323804502,8429,8253,0,1
323906202,8431,8253,0,1
324008217,8431,8253,0,1
324110216,8431,8253,0,1
324212204,8431,8253,0,1
324314318,8432,8267,0,1
324416204,8445,8267,0,1
324518224,8445,8267,0,1
324620218,8445,8267,0,1
324722206,8445,8267,0,1
324824523,8445,8269,0,1
324926204,8447,8269,0,1
325028218,8447,8269,0,1
325130217,8447,8269,0,1
325232202,8448,8269,0,1
325334350,8448,8283,0,1
325436201,8461,8283,0,1
325538217,8461,8283,0,1
325640225,8461,8283,0,1
325742203,8461,8283,0,1
325844502,8461,8285,0,1
325946202,8463,8285,0,1
326048218,8463,8285,0,1
326150216,8463,8285,0,1
326252202,8464,8285,0,1
326354516,8464,8299,0,1
326456201,8477,8299,0,1
326558218,8477,8299,0,1
326660217,8477,8299,0,1
326762210,8477,8299,0,1
326864475,8477,8301,0,1
326966202,8479,8301,0,1
327068221,8479,8301,0,1
327170217,8479,8301,0,1
327272362,8480,8313,0,1
327374514,8492,8315,0,1
327476200,8493,8315,0,1
327578218,8493,8315,0,1
327680223,8493,8315,0,1
327782205,8493,8317,0,1
327884567,8495,8317,0,1
327986202,8495,8317,0,1
328088218,8495,8317,0,1
328190218,8495,8317,0,1
328292202,8496,8329,0,1
328394519,8507,8331,0,1
328496204,8509,8331,0,1
328598218,8509,8331,0,1
328700217,8509,8331,0,1
328802202,8509,8331,0,1
328904304,8509,8333,0,1
329006207,8511,8333,0,1
329108217,8511,8333,0,1
329210220,8511,8333,0,1
329312204,8512,8345,0,1
329414316,8523,8347,0,1
329516200,8525,8347,0,1
329618218,8525,8347,0,1
329720217,8525,8347,0,1
329822232,8525,8349,0,1
329924314,8527,8349,0,1
330026201,8527,8349,0,1
330128224,8527,8349,0,1
330230217,8527,8349,0,1
330332203,8528,8363,0,1
330434503,8541,8363,0,1
330536202,8541,8363,0,1
330638220,8541,8363,0,1
330740218,8541,8363,0,1
330842202,8541,8365,0,1
330944476,8543,8365,0,1
331046201,8543,8365,0,1
331148217,8543,8365,0,1
331250222,8544,8365,0,1
331352204,8544,8379,0,1
331454524,8557,8379,0,1
331556202,8557,8379,0,1
331658218,8557,8379,0,1
331760217,8557,8379,0,1
331862203,8557,8381,0,1
331964316,8559,8381,0,1
332066203,8559,8381,0,1
332168219,8559,8381,0,1
332270217,8560,8381,0,1
332372240,8560,8395,0,1
332474354,8573,8395,0,1
332576202,8573,8395,0,1
332678218,8573,8395,0,1
332780221,8573,8395,0,1
332882211,8573,8397,0,1
332984509,8575,8397,0,1
333086207,8575,8397,0,1
333188205,8575,8397,0,1
333290218,8576,8409,0,1
333392202,8589,8411,0,1
333494337,8591,8411,0,1
333596202,8591,8411,0,1
333698218,8591,8411,0,1
333800219,8591,8411,0,1
333902202,8591,8413,0,1
334004308,8593,8413,0,1
334106201,8593,8413,0,1
334208220,8593,8413,0,1
334310217,8594,8425,0,1
334412203,8605,8427,0,1
334514311,8607,8427,0,1
334616208,8607,8427,0,1
334718217,8607,8427,0,1
334820217,8607,8427,0,1
334922210,8607,8429,0,1
335024318,8609,8429,0,1
335126202,8609,8429,0,1
335228218,8609,8429,0,1
335330220,8610,8441,0,1
335432202,8621,8443,0,1
335534503,8623,8443,0,1
335636204,8623,8443,0,1
335738224,8623,8443,0,1
335840217,8623,8443,0,1
335942202,8623,8445,0,1
336044310,8625,8445,0,1
336146202,8625,8445,0,1
336248218,8626,8445,0,1
336350223,8626,8457,0,1
336452203,8637,8459,0,1
336554496,8639,8459,0,1
336656201,8639,8459,0,1
336758217,8639,8459,0,1
336860223,8639,8459,0,1
336962202,8639,8461,0,1
337064597,8641,8461,0,1
337166202,8641,8461,0,1
337268217,8642,8461,0,1
337370217,8642,8473,0,1
337472211,8653,8475,0,1
337574520,8655,8475,0,1
337676201,8655,8475,0,1
337778220,8655,8475,0,1
337880223,8655,8475,0,1
337982210,8655,8477,0,1
338084310,8657,8477,0,1
338186201,8657,8477,0,1
338288217,8658,8489,0,1
338390217,8669,8489,0,1
338492204,8669,8491,0,1
338594510,8671,8491,0,1
338696202,8671,8491,0,1
338798218,8671,8491,0,1
338900217,8671,8491,0,1
339002203,8671,8493,0,1
339104508,8673,8493,0,1
339206203,8673,8493,0,1
339308218,8674,8505,0,1
339410219,8685,8505,0,1
339512202,8685,8507,0,1
339614503,8687,8507,0,1
339716201,8687,8507,0,1
339818218,8687,8507,0,1
339920220,8687,8507,0,1
340022205,8687,8509,0,1
340124508,8689,8509,0,1
340226208,8689,8509,0,1
340328218,8690,8521,0,1
340430217,8701,8523,0,1
340532205,8703,8523,0,1
340634311,8703,8523,0,1
340736201,8703,8523,0,1
340838218,8703,8523,0,1
340940217,8703,8523,0,1
341042202,8703,8525,0,1
341144316,8705,8525,0,1
341246202,8706,8525,0,1
341348227,8706,8537,0,1
341450220,8717,8537,0,1
341552203,8717,8539,0,1
341654351,8719,8539,0,1
341756201,8719,8539,0,1
341858218,8719,8539,0,1
341960218,8719,8539,0,1
342062204,8719,8541,0,1
342164317,8721,8541,0,1
342266201,8722,8541,0,1
342368217,8722,8553,0,1
342470223,8733,8553,0,1
342572206,8733,8555,0,1
342674552,8735,8555,0,1
342776205,8735,8555,0,1
342878218,8735,8555,0,1
342980217,8735,8557,0,1
343082207,8737,8557,0,1
343184324,8737,8557,0,1
343286200,8738,8569,0,1
343388217,8749,8569,0,1
343490219,8749,8571,0,1
343592210,8751,8571,0,1
343694507,8751,8571,0,1
343796202,8751,8571,0,1
343898229,8751,8571,0,1
344000216,8751,8573,0,1
344102202,8753,8573,0,1
344204534,8753,8573,0,1
344306203,8754,8585,0,1
344408218,8765,8585,0,1
344510218,8765,8587,0,1
344612203,8767,8587,0,1
344714523,8767,8587,0,1
344816218,8767,8587,0,1
344918221,8767,8587,0,1
345020218,8767,8587,0,1
345122206,8767,8589,0,1
345224313,8769,8589,0,1
345326202,8770,8601,0,1
345428218,8781,8601,0,1
345530218,8781,8603,0,1
345632204,8783,8603,0,1
345734530,8783,8603,0,1
345836209,8783,8603,0,1
345938218,8783,8603,0,1
346040217,8783,8605,0,1
346142208,8785,8605,0,1
346244343,8786,8605,0,1
346346205,8786,8617,0,1
346448219,8797,8617,0,1
346550218,8797,8619,0,1
346652202,8799,8619,0,1
346754508,8799,8619,0,1
346856202,8799,8619,0,1
346958226,8799,8619,0,1
347060220,8799,8621,0,1
347162203,8801,8621,0,1
347264512,8802,8621,0,1
347366202,8802,8633,0,1
347468217,8813,8633,0,1
347570217,8813,8635,0,1
347672211,8815,8635,0,1
347774315,8815,8635,0,1
347876201,8815,8635,0,1
347978217,8815,8635,0,1
348080229,8815,8637,0,1
348182202,8817,8637,0,1
348284556,8818,8649,0,1
348386202,8829,8649,0,1
348488220,8829,8649,0,1
348590216,8829,8651,0,1
348692203,8831,8651,0,1
348794320,8831,8651,0,1
348896202,8831,8651,0,1
348998218,8831,8651,0,1
349100220,8831,8653,0,1
349202211,8833,8653,0,1
349304310,8834,8665,0,1
349406202,8845,8665,0,1
349508218,8845,8665,0,1
349610218,8845,8667,0,1
349712206,8847,8667,0,1
349814502,8847,8667,0,1
349916202,8847,8667,0,1
350018219,8847,8667,0,1
350120218,8847,8669,0,1
350222205,8849,8669,0,1
350324519,8850,8681,0,1
350426202,8861,8681,0,1
350528218,8861,8681,0,1
350630221,8861,8683,0,1
350732202,8863,8683,0,1
350834539,8863,8683,0,1
350936201,8863,8683,0,1
351038217,8863,8683,0,1
351140218,8863,8685,0,1
