timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
422164192,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
423174189,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
424184444,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
425194189,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
426204184,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
427214375,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
428224191,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
429234187,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
430244239,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
431254182,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
432264189,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
433274227,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
434284211,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
435294193,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
436304189,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
437314330,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
438324331,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
439334348,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
440344336,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
